source_id,target_id,relationship_type
S1240,T1102,uses
G0053,T1133,uses
S0582,T1071.001,uses
AN0072,DC0039,monitors_data_component
AN1090,DC0013,monitors_data_component
S0455,T1027.013,uses
S0136,T1020,uses
G0064,S0336,uses
S0238,T1083,uses
G0092,S0521,uses
DET0255,AN0707,has_analytic
G1048,S1221,uses
G0130,T1056.001,uses
T1564.011,T1564,subtechnique_of
DET0464,AN1282,has_analytic
S1026,T1071.001,uses
S0576,T1561.001,uses
S0353,T1074.001,uses
DET0591,AN1626,has_analytic
G1006,T1608.001,uses
S0582,T1140,uses
S0644,T1120,uses
M1028,T1087,mitigates
AN0051,DC0063,monitors_data_component
S0108,T1090,uses
S0223,T1559.002,uses
S1130,T1571,uses
G0096,S0069,uses
S0267,T1057,uses
S1233,T1074.001,uses
M1038,T1547.004,mitigates
M1017,T1078.004,mitigates
G0061,T1053.005,uses
S0083,T1095,uses
T1030,TA0010,belongs_to_tactic
AN0271,DC0064,monitors_data_component
S0377,T1020,uses
S0337,T1547.001,uses
DET0300,AN0840,has_analytic
T1218.005,T1218,subtechnique_of
AN0938,DC0039,monitors_data_component
G1022,T1518.001,uses
S1232,T1070.009,uses
C0002,S0029,uses
S0244,T1027.001,uses
C0015,T1030,uses
S0461,T1125,uses
DET0144,AN0405,has_analytic
C0046,T1557,uses
AN0580,DC0016,monitors_data_component
G0069,T1203,uses
G0095,T1059.003,uses
S0572,T1112,uses
AN0424,DC0032,monitors_data_component
AN1542,DC0064,monitors_data_component
S1236,T1574.001,uses
S1245,T1056,uses
S0170,T1027.013,uses
S9019,T1033,uses
AN1381,DC0032,monitors_data_component
AN0029,DC0085,monitors_data_component
S9034,T1036.005,uses
T1055,TA0004,belongs_to_tactic
S0377,T1685,uses
AN1235,DC0014,monitors_data_component
S0625,T1564.003,uses
S1101,T1005,uses
AN0682,DC0032,monitors_data_component
S1111,T1115,uses
OA-CUSTOM-ARCHIVE-FILE,T1560.003,creates
S1081,T1018,uses
G1030,T1505.003,uses
S0030,T1070.004,uses
OA-ARCHIVE-FILE,T1560.002,creates
DET0476,AN1311,has_analytic
DET0382,AN1076,has_analytic
S9020,T1106,uses
S0447,T1204.002,uses
S0687,T1686.002,uses
S0144,T1082,uses
G0070,T1218.001,uses
S1111,T1583.001,uses
S0128,T1036.005,uses
M1018,T1484,mitigates
S0646,T1566.002,uses
S0491,T1016,uses
T1055.009,TA0004,belongs_to_tactic
DET0565,AN1562,has_analytic
