source_id,target_id,relationship_type
G1016,T1016.001,uses
S1141,T1083,uses
S1012,T1140,uses
S1032,T1059.003,uses
T1484.001,T1484,subtechnique_of
S0546,T1614.001,uses
G0120,T1566.002,uses
S0673,T1059.007,uses
S0554,T1486,uses
S0501,T1518.001,uses
D3-LAM,D3-TAC-DETECT,belongs_to_tactic
S0139,T1027.003,uses
G0007,S0193,uses
S0140,T1486,uses
S1100,T1027.013,uses
OA-PROCESS-SEGMENT,T1033,may-access
S0428,T1059.005,uses
T1036.006,Stealth,belongs_to_tactic
S0171,T1036.005,uses
T1090.001,Command and Control,belongs_to_tactic
DET0447,T1136.001,detects
S0447,T1059.001,uses
S0132,T1027,uses
S0682,T1546.003,uses
M1031,T1557.001,mitigates
D3-HBPI,D3-TAC-ISOLATE,belongs_to_tactic
S1132,T1059.005,uses
G0082,T1690,uses
S0134,T1001.001,uses
S0575,T1021.002,uses
S9020,T1574.001,uses
G1017,T1059.004,uses
S0605,T1057,uses
OA-EXECUTABLE-BINARY,T1027.001,modifies
G0065,T1218.010,uses
G0108,T1021.001,uses
S0231,T1027.009,uses
T1059.012,T1059,subtechnique_of
M1026,T1606,mitigates
T1542.003,T1542,subtechnique_of
G0035,T1598.002,uses
S0340,T1113,uses
T1129,Execution,belongs_to_tactic
G0061,T1070.004,uses
G1052,S1249,uses
G0006,S0119,uses
S0556,T1016,uses
S0450,T1016,uses
M1021,T1218,mitigates
S1202,T1573.001,uses
S1107,T1016.001,uses
S0223,T1005,uses
G1017,T1046,uses
S0266,T1057,uses
G1007,T1204.002,uses
G1052,T1571,uses
DET0410,T1039,detects
S0625,T1083,uses
T1595.001,T1595,subtechnique_of
T1055.001,T1055,subtechnique_of
S1143,T1137.006,uses
G1032,S1139,uses
S0138,T1071.001,uses
G0034,T1489,uses
C0029,T1021.004,uses
G0030,T1090.003,uses
G0059,T1685,uses
S0641,T1056,uses
G0126,T1204.002,uses
OA-CONFIGURATION-RESOURCE,T1614,accesses
G0047,T1090.003,uses
S0198,T1106,uses
S0528,T1027.001,uses
M1037,T1499.001,mitigates
M1013,T1564.012,mitigates
S0677,T1484.002,uses
T1585.001,Resource Development,belongs_to_tactic
S1145,T1497.001,uses
G0066,S0211,uses
G0007,T1110,uses
S1042,T1071.001,uses
G0016,T1105,uses
S0330,T1112,uses
S0386,T1132,uses
S0332,T1491.001,uses
T1189,Initial Access,belongs_to_tactic
G0140,T1204.001,uses
G1048,T1588.004,uses
S1169,T1082,uses
G0096,T1014,uses
G1036,T1608.001,uses
S1111,T1047,uses
S0652,T1518.001,uses
S0468,T1496.001,uses
S0085,T1071.001,uses
G0129,T1027.012,uses
S0232,T1003,uses
G1003,T1112,uses
S1239,T1027.001,uses
S0448,T1564.001,uses
S0448,T1106,uses
G0022,T1098.007,uses
S0128,T1036.005,uses
S0449,T1106,uses
G0099,S9017,uses
M1043,T1601,mitigates
S0590,T1018,uses
S0029,T1136.002,uses
S0088,T1059.003,uses
M1013,T1078,mitigates
T1593.001,T1593,subtechnique_of
S1180,T1614.001,uses
S0576,T1531,uses
S1110,T1573.001,uses
S0003,T1071.001,uses
D3-LOCAL-FILE-PERMISSIONS,DA-FILE,restricts
S0219,T1059,uses
S9015,T1071.004,uses
T1091,Initial Access,belongs_to_tactic
S0695,T1059.007,uses
S1185,T1555.001,uses
S0125,T1059.011,uses
G1030,T1003.001,uses
S0601,T1046,uses
G0096,T1542.003,uses
S0455,T1140,uses
M1021,T1568,mitigates
C0036,T1059.001,uses
S0401,T1140,uses
C0038,T1003.001,uses
C0026,T1105,uses
S1159,T1497.001,uses
S0596,T1055,uses
T1006,Stealth,belongs_to_tactic
M1056,T1650,mitigates
S1181,T1112,uses
S0148,T1070.009,uses
T1547.001,Persistence,belongs_to_tactic
D3-DI,D3-TAC-MODEL,belongs_to_tactic
S1202,T1135,uses
S0045,T1083,uses
G1012,T1041,uses
S1147,T1053.005,uses
S1202,T1112,uses
C0012,T1543.003,uses
S0225,T1190,uses
G0077,T1027.010,uses
S0667,T1106,uses
C0024,T1005,uses
S0528,T1102.001,uses
S0649,T1098.007,uses
S0113,T1573.001,uses
S0284,T1027.013,uses
S0435,T1090,uses
S0038,T1543.003,uses
S0570,T1027.013,uses
S0438,T1497.001,uses
S0373,T1220,uses
C0046,S1188,uses
G1052,T1685,uses
S0187,T1027.002,uses
S1059,T1560.003,uses
S0587,T1095,uses
G0045,T1003.004,uses
C0051,T1140,uses
G0027,T1189,uses
S0266,T1055.012,uses
S1226,T1033,uses
M1047,T1053.005,mitigates
M1042,T1052,mitigates
C0022,T1585.002,uses
S0081,T1007,uses
S0482,T1082,uses
T1110.004,Credential Access,belongs_to_tactic
S0035,T1052.001,uses
M1034,T1200,mitigates
G0044,S0501,uses
S1046,T1059.001,uses
S0081,T1071.001,uses
C0063,T1110.002,uses
T1102.003,T1102,subtechnique_of
S1228,T1560.001,uses
S0269,T1008,uses
S0051,T1071.001,uses
S0646,T1105,uses
D3-RESTORE-SOFTWARE,D3-TAC-RESTORE,belongs_to_tactic
S9016,T1055.012,uses
G0069,T1567.002,uses
M1026,T1601,mitigates
S0458,T1204.002,uses
S1207,T1056.001,uses
G0129,T1553.002,uses
S0622,T1113,uses
G0105,T1135,uses
S1075,T1135,uses
T1547.001,Privilege Escalation,belongs_to_tactic
S1206,T1685,uses
S0147,T1106,uses
S0270,T1518.001,uses
S0021,T1056.001,uses
S0373,T1059.003,uses
S0085,T1136.001,uses
S0567,T1140,uses
G0046,S0145,uses
M1017,T1213.004,mitigates
G0142,T1059.005,uses
S1245,T1056.001,uses
S0368,T1021.002,uses
S0155,T1070.004,uses
G0038,T1057,uses
DET0142,T1059.008,detects
G1001,T1018,uses
C0011,T1204.001,uses
S0679,T1546.015,uses
S1070,T1222.002,uses
S0610,T1008,uses
C0039,T1095,uses
OA-OUTBOUND-INTERNET-WEB-TRAFFIC,T1197,may-produce
G0125,T1590,uses
S0699,T1573.002,uses
G1006,T1204.001,uses
G1015,T1087,uses
T1553.001,Defense Impairment,belongs_to_tactic
S1149,T1548.002,uses
C0030,T1595,uses
S0274,T1074.001,uses
S1210,T1074.001,uses
C0012,T1574.001,uses
OA-OUTBOUND-INTERNET-NETWORK-TRAFFIC,T1132,produces
S1228,T1573.001,uses
S0681,T1016,uses
G0127,T1218.011,uses
G0034,T1140,uses
S1247,T1486,uses
S0031,T1071.001,uses
M1049,T1566.003,mitigates
S0442,T1059.005,uses
S0046,T1071.001,uses
S0690,T1543.001,uses
G0001,S0203,uses
S0437,T1083,uses
S0578,T1036.005,uses
DET0463,T1110,detects
S0332,T1090,uses
S1138,T1055.002,uses
S0036,T1547.001,uses
S0499,T1106,uses
C0058,T1053.005,uses
S0250,T1569.002,uses
S1022,T1087.002,uses
M1056,T1590.006,mitigates
M1031,T1572,mitigates
S0360,T1568.002,uses
S0051,T1090.001,uses
G0006,S0109,uses
S0266,T1105,uses
S0386,T1106,uses
T1486,Impact,belongs_to_tactic
S0650,T1497.003,uses
C0047,T1566.001,uses
S0381,T1218.007,uses
G0123,T1105,uses
DA-SYSTEM-FIRMWARE,OA-SYSTEM-FIRMWARE,targets
G0050,T1566.001,uses
D3-NETWORK-TRAFFIC-SIGNATURE-ANALYSIS,D3-TAC-DETECT,belongs_to_tactic
G0117,T1027.010,uses
S0265,T1132.001,uses
S9016,T1105,uses
S0625,T1070.004,uses
S0335,T1543.003,uses
S0533,T1070.004,uses
G0075,T1053.005,uses
G0049,S0184,uses
S0115,T1125,uses
G0059,T1046,uses
S0247,T1056.001,uses
G0053,T1685.005,uses
G0059,T1591.001,uses
G0129,T1129,uses
C0007,S1043,uses
T1567.003,T1567,subtechnique_of
G0006,T1007,uses
S1230,T1678,uses
S0332,T1057,uses
S1160,T1559.001,uses
M1053,T1491,mitigates
G0046,T1564.003,uses
S0671,T1041,uses
S0677,T1606.002,uses
S1026,T1140,uses
G1042,T1571,uses
S0439,T1070.004,uses
D3-DKP,D3-TAC-EVICT,belongs_to_tactic
S0659,T1135,uses
S1078,T1095,uses
S0037,T1567.002,uses
C0022,T1591.004,uses
G0069,T1090,uses
S0082,T1027.001,uses
S0265,T1087.001,uses
S0194,T1552.002,uses
S9010,T1657,uses
C0048,T1584.003,uses
G0034,S0357,uses
S1180,T1685,uses
OA-FILE,T1119,accesses
DA-PROCESS,OA-AUTHENTICATION-SERVICE,targets
C0041,T1190,uses
M1026,T1558.002,mitigates
M1027,T1550.003,mitigates
S1201,T1112,uses
S0631,T1105,uses
S1226,T1036.004,uses
S1073,T1106,uses
S0613,T1059.001,uses
G1043,T1569.002,uses
G0007,S0250,uses
G0094,T1593.001,uses
S0662,T1113,uses
C0049,T1482,uses
DET0571,T1543,detects
G1003,T1505.003,uses
S1156,T1113,uses
S0605,T1027,uses
S0466,T1083,uses
G0006,S0008,uses
G0069,T1057,uses
T1021.008,Lateral Movement,belongs_to_tactic
S1244,T1543.003,uses
S0108,T1518.001,uses
S0487,T1059,uses
S0117,T1573.002,uses
OA-PROCESS-SEGMENT,T1190,modifies
G0099,T1583.006,uses
S0031,T1041,uses
C0007,S0104,uses
S0094,T1049,uses
S0441,T1564.003,uses
G0012,T1091,uses
D3-RFUM,D3-TAC-DETECT,belongs_to_tactic
S0045,T1070.004,uses
S1053,T1083,uses
S0652,T1005,uses
S0688,T1047,uses
S1085,T1047,uses
S0562,T1480,uses
S0257,T1115,uses
S1019,T1105,uses
S0689,T1497.001,uses
S0531,T1105,uses
C0035,T1583.003,uses
S1182,T1082,uses
S0564,T1680,uses
S0192,T1560.001,uses
G0128,T1584.008,uses
S1207,T1185,uses
S0266,T1027.013,uses
S1133,T1486,uses
G0045,S0160,uses
S1150,T1486,uses
G0100,T1071.001,uses
S0030,T1057,uses
M1028,T1552.003,mitigates
G0006,T1059.003,uses
S0356,T1132.001,uses
S1081,T1027.009,uses
OA-COMMAND-HISTORY-LOG-FILE,T1552.003,accesses
S0622,T1082,uses
S0456,T1547.001,uses
S1202,T1680,uses
S0562,T1083,uses
S1239,T1132.002,uses
S0362,T1133,uses
S1018,T1016,uses
G0069,T1105,uses
S0428,T1071.001,uses
DA-ACCESS-TOKEN,OA-KERBEROS-TICKET,targets
S0496,T1573.002,uses
S0607,T1070.004,uses
S0516,T1140,uses
M1021,T1567.002,mitigates
G0143,T1112,uses
S0087,T1071.001,uses
S0385,T1547.001,uses
T1205.001,Stealth,belongs_to_tactic
T1482,Discovery,belongs_to_tactic
C0021,T1105,uses
T1546.016,Privilege Escalation,belongs_to_tactic
S0647,T1120,uses
S0148,T1219,uses
S0404,T1005,uses
T1547.004,T1547,subtechnique_of
S0435,T1105,uses
T1574.008,Execution,belongs_to_tactic
S0158,T1095,uses
DA-INPUT-DEVICE,OA-KEYBOARD-INPUT-DEVICE,targets
G0039,T1078,uses
S0023,T1518.001,uses
G0034,T1087.002,uses
OA-NETWORK-TRAFFIC,T1205.001,produces
S0053,T1550.003,uses
T1574.007,Execution,belongs_to_tactic
G0135,T1036.004,uses
G0129,T1219.001,uses
M1033,T1195.001,mitigates
G0131,T1505.003,uses
T1564.009,Stealth,belongs_to_tactic
S0338,T1547.001,uses
M1024,T1070.007,mitigates
C0022,T1588.002,uses
G0007,T1071.001,uses
S0221,T1014,uses
T1657,Impact,belongs_to_tactic
G0007,S0645,uses
S1075,T1680,uses
S0396,T1059.003,uses
T1586.002,Resource Development,belongs_to_tactic
S0168,T1480.002,uses
G1048,S1218,uses
C0058,T1572,uses
S0354,T1082,uses
G0027,T1049,uses
OA-CREATE-PROCESS,T1218.001,invokes
G1020,T1082,uses
G0085,T1204.002,uses
S0467,T1518.001,uses
M1035,T1546.008,mitigates
DA-FILE,OA-COMMAND-HISTORY-LOG-FILE,targets
S0048,T1003,uses
