source_id,target_id,relationship_type
CM1131,ZIG-ACT-4.6.2,implements_activity
ZIG-ACT-4.4.5,T1105,mitigates
CM2012,ZIG-ACT-2.3.1,implements_activity
ZIG-ACT-2.7.2,T1211,mitigates
ZIG-ACT-3.3.1,T1090,mitigates
ZIG-ACT-7.4.3,T1027,mitigates
CM1131,ZIG-ACT-6.1.2,implements_activity
ZIG-ACT-1.2.1,T1612,mitigates
CM1145,ZIG-ACT-3.4.6,implements_activity
CM1131,ZIG-ACT-4.5.1,implements_activity
CM2016,ZIG-ACT-2.7.3,implements_activity
ZIG-ACT-7.6.2,T1499,mitigates
ZIG-ACT-1.2.2,T1495,mitigates
CM2022,ZIG-ACT-1.4.3,implements_activity
ZIG-ACT-7.2.1,T1014,mitigates
CSA-08,CREF-TECH-12,associated_with_technique
CREF-APP-32,CREF-EFFECT-8,has_effect
ZIG-ACT-1.4.3,T1120,mitigates
CM1104,CREF-APP-13,implements_approach
CREF-TECH-11,CREF-OBJ-3,achieves_objective
CM2003,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-5.4.3,T1211,mitigates
CM2002,T1205,mitigates
ZIG-ACT-1.4.4,T1560,mitigates
CREF-APP-5,T1485,mitigates_architecturally
ZIG-ACT-5.4.1,T1185,mitigates
M1053,CREF-APP-40,implements_approach
ZIG-ACT-4.5.1,T1592,mitigates
CM2010,T1195,mitigates
CM2012,ZIG-ACT-6.4.2,implements_activity
ZIG-ACT-3.3.1,T1056,mitigates
ZIG-ACT-5.2.4,T1553,mitigates
CREF-TECH-9,CREF-STA-4,requires_principle
ZIG-ACT-7.3.2,T1125,mitigates
CREF-APP-41,CREF-EFFECT-15,has_effect
ZIG-ACT-3.3.1,T1218,mitigates
ZIG-ACT-7.2.1,T1129,mitigates
ZIG-ACT-4.4.1,T1518,mitigates
ZIG-ACT-4.6.2,T1047,mitigates
ZIG-ACT-5.4.3,T1070,mitigates
ZIG-ACT-5.2.4,T1072,mitigates
CM2035,ZIG-ACT-7.2.4,implements_activity
CM1133,ZIG-ACT-3.3.4,implements_activity
ZIG-ACT-7.6.1,T1574,mitigates
ZIG-ACT-4.5.3,T1601,mitigates
CM2008,ZIG-ACT-7.3.2,implements_activity
CREF-APP-40,CREF-TECH-11,realizes_technique
CREF-APP-32,CREF-EFFECT-13,has_effect
ZIG-ACT-7.2.2,T1199,mitigates
ZIG-ACT-4.5.3,T1053,mitigates
ZIG-ACT-7.6.1,T1572,mitigates
M1053,ZIG-ACT-6.3.1,implements_activity
ZIG-ACT-7.4.3,T1114,mitigates
ZIG-ACT-1.2.1,T1535,mitigates
CREF-APP-8,T1538,mitigates_architecturally
ZIG-ACT-4.4.3,T1586,mitigates
ZIG-ACT-3.4.6,T1569,mitigates
ZIG-ACT-5.2.4,T1567,mitigates
CM2021,T1213,mitigates
ZIG-ACT-1.4.4,T1119,mitigates
CM1122,ZIG-ACT-1.2.1,implements_activity
M1053,ZIG-ACT-6.7.1,implements_activity
ZIG-ACT-7.5.1,T1025,mitigates
CREF-APP-47,T1210,mitigates_architecturally
M1040,ZIG-ACT-2.6.2,implements_activity
ZIG-ACT-2.7.3,T1016,mitigates
CREF-APP-3,T1218,mitigates_architecturally
CM1113,T1011,mitigates
ZIG-ACT-3.4.1,T1104,mitigates
CM2041,T1008,mitigates
ZIG-ACT-7.2.2,T1203,mitigates
CM1108,CREF-APP-2,implements_approach
ZIG-ACT-4.4.3,T1569,mitigates
ZIG-ACT-7.3.2,T1083,mitigates
CM1155,ZIG-ACT-7.6.1,implements_activity
ZIG-ACT-2.7.1,T1003,mitigates
ZIG-ACT-7.4.3,T1033,mitigates
ZIG-ACT-4.4.1,T1074,mitigates
CM1121,ZIG-ACT-6.7.4,implements_activity
CM1131,ZIG-ACT-1.5.2,implements_activity
CM2043,T1586,mitigates
M1029,ZIG-ACT-2.2.1,implements_activity
CM1143,ZIG-ACT-1.2.3,implements_activity
CREF-TECH-2,CREF-STU-11,informs_principle
ZIG-ACT-4.4.3,T1220,mitigates
ZIG-ACT-5.2.2,T1129,mitigates
ZIG-ACT-1.2.1,T1210,mitigates
CREF-APP-13,T1598,mitigates_architecturally
CREF-APP-4,T1589,mitigates_architecturally
M1054,ZIG-ACT-2.6.2,implements_activity
ZIG-ACT-3.3.4,T1486,mitigates
ZIG-ACT-7.5.1,T1537,mitigates
ZIG-ACT-2.7.1,T1482,mitigates
M1029,ZIG-ACT-4.2.1,implements_activity
ZIG-ACT-2.3.3,T1528,mitigates
CM1104,T1083,mitigates
CM2002,ZIG-ACT-4.6.2,implements_activity
CM2033,T1570,mitigates
CM2015,T1005,mitigates
ZIG-ACT-1.2.3,T1134,mitigates
CM1143,CREF-APP-15,implements_approach
CM1164,T1014,mitigates
ZIG-ACT-2.7.1,T1055,mitigates
ZIG-ACT-2.7.3,T1480,mitigates
ZIG-ACT-2.7.2,T1590,mitigates
ZIG-ACT-5.2.3,T1571,mitigates
ZIG-ACT-6.4.2,T1608,mitigates
CM1141,T1485,mitigates
ZIG-ACT-7.2.2,T1069,mitigates
ZIG-ACT-4.4.1,T1092,mitigates
CM2002,ZIG-ACT-4.5.1,implements_activity
ZIG-ACT-6.7.4,T1029,mitigates
ZIG-ACT-2.3.1,T1114,mitigates
ZIG-ACT-3.3.4,T1033,mitigates
ZIG-ACT-5.2.4,T1039,mitigates
CM2004,ZIG-ACT-3.3.4,implements_activity
ZIG-ACT-2.7.1,T1612,mitigates
ZIG-ACT-4.4.5,T1537,mitigates
ZIG-ACT-2.3.6,T1561,mitigates
ZIG-ACT-3.5.2,T1599,mitigates
ZIG-ACT-1.9.1,T1565,mitigates
ZIG-ACT-2.6.2,T1068,mitigates
ZIG-ACT-2.6.2,T1599,mitigates
CREF-APP-28,T1561,mitigates_architecturally
ZIG-ACT-3.5.2,T1095,mitigates
ZIG-ACT-3.5.2,T1069,mitigates
M1040,ZIG-ACT-2.3.3,implements_activity
ZIG-ACT-2.3.6,T1080,mitigates
CREF-TECH-14,CREF-STU-11,informs_principle
ZIG-ACT-1.2.1,T1547,mitigates
ZIG-ACT-2.6.2,T1095,mitigates
ZIG-ACT-4.3.2,T1008,mitigates
M1025,CREF-APP-37,implements_approach
CM1147,ZIG-ACT-4.4.5,implements_activity
ZIG-ACT-1.2.3,T1496,mitigates
ZIG-ACT-4.5.3,T1195,mitigates
ZIG-ACT-5.3.1,T1203,mitigates
ZIG-ACT-3.4.1,T1221,mitigates
CM2035,ZIG-ACT-7.2.5,implements_activity
ZIG-ACT-1.4.3,T1041,mitigates
CM1153,ZIG-ACT-1.4.1,implements_activity
CM2034,T1114,mitigates
ZIG-ACT-1.6.1,T1211,mitigates
CM1122,ZIG-ACT-2.3.4,implements_activity
ZIG-ACT-6.7.4,T1484,mitigates
CM2002,T1572,mitigates
CREF-APP-13,T1205,mitigates_architecturally
ZIG-ACT-5.2.4,T1030,mitigates
ZIG-ACT-7.6.1,T1110,mitigates
CM1111,AC-3(13),satisfies_control
ZIG-ACT-3.2.1,T1029,mitigates
ZIG-ACT-5.2.3,T1059,mitigates
ZIG-ACT-4.4.1,T1120,mitigates
ZIG-ACT-3.3.4,T1565,mitigates
CM1122,ZIG-ACT-1.3.1,implements_activity
ZIG-ACT-5.4.1,T1584,mitigates
CM1113,ZIG-ACT-4.6.2,implements_activity
ZIG-ACT-7.2.3,T1571,mitigates
ZIG-ACT-7.5.2,T1484,mitigates
ZIG-ACT-7.6.1,T1525,mitigates
ZIG-ACT-3.4.6,T1553,mitigates
ZIG-ACT-5.2.2,T1055,mitigates
CM2033,T1070,mitigates
ZIG-ACT-3.3.4,T1057,mitigates
ZIG-ACT-7.5.1,T1120,mitigates
ZIG-ACT-3.3.2,T1203,mitigates
M1021,ZIG-ACT-2.3.5,implements_activity
ZIG-ACT-2.6.2,T1485,mitigates
CREF-APP-26,CREF-TECH-7,realizes_technique
ZIG-ACT-4.4.5,T1218,mitigates
ZIG-ACT-5.2.3,T1573,mitigates
CM2044,ZIG-ACT-5.4.1,implements_activity
ZIG-ACT-5.2.2,T1612,mitigates
CM1101,T1602,mitigates
CM2023,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-7.4.1,T1052,mitigates
CM2015,ZIG-ACT-2.3.1,implements_activity
ZIG-ACT-7.2.2,T1552,mitigates
M1025,T1003,mitigates
ZIG-ACT-1.4.4,T1217,mitigates
CM1117,ZIG-ACT-1.2.2,implements_activity
CREF-TECH-6,CREF-STA-1,requires_principle
ZIG-ACT-7.2.1,T1486,mitigates
CM1107,ZIG-ACT-7.6.2,implements_activity
ZIG-ACT-7.1.3,T1490,mitigates
ZIG-ACT-7.4.3,T1531,mitigates
ZIG-ACT-1.6.2,T1133,mitigates
M1028,ZIG-ACT-2.6.2,implements_activity
CM2002,ZIG-ACT-3.3.1,implements_activity
ZIG-ACT-4.4.5,T1120,mitigates
CREF-APP-15,T1526,mitigates_architecturally
ZIG-ACT-5.4.4,T1210,mitigates
ZIG-ACT-4.4.3,T1040,mitigates
CSA-02,CREF-TECH-12,associated_with_technique
CM2002,T1573,mitigates
ZIG-ACT-2.3.1,T1586,mitigates
ZIG-ACT-2.7.2,T1542,mitigates
CM1131,CREF-APP-1,implements_approach
ZIG-ACT-6.7.4,T1020,mitigates
ZIG-ACT-7.2.5,T1140,mitigates
CM2044,T1489,mitigates
CREF-APP-50,T1003,mitigates_architecturally
ZIG-ACT-7.2.3,T1059,mitigates
ZIG-ACT-2.7.1,T1210,mitigates
ZIG-ACT-5.2.4,T1222,mitigates
CREF-APP-44,CREF-EFFECT-10,has_effect
ZIG-ACT-3.4.6,T1083,mitigates
ZIG-ACT-3.2.2,T1547,mitigates
ZIG-ACT-7.6.2,T1553,mitigates
CM1161,CREF-APP-27,implements_approach
ZIG-ACT-5.2.3,T1221,mitigates
ZIG-ACT-4.5.1,T1219,mitigates
CM2017,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-1.4.3,T1571,mitigates
ZIG-ACT-7.2.1,T1199,mitigates
CM2044,ZIG-ACT-7.3.2,implements_activity
CM1157,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-1.2.1,T1070,mitigates
CREF-APP-14,T1012,mitigates_architecturally
CSA-09,CREF-TECH-5,associated_with_technique
ZIG-ACT-5.1.2,T1570,mitigates
ZIG-ACT-7.6.2,T1072,mitigates
CM2009,SI-7,satisfies_control
CM2020,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-3.3.4,T1531,mitigates
ZIG-ACT-5.4.4,T1547,mitigates
CM1137,T1080,mitigates
ZIG-ACT-6.7.1,T1518,mitigates
ZIG-ACT-7.4.3,T1119,mitigates
ZIG-ACT-7.2.2,T1072,mitigates
ZIG-ACT-7.2.2,T1106,mitigates
CREF-APP-50,T1055,mitigates_architecturally
ZIG-ACT-2.2.1,T1490,mitigates
CM2007,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-7.3.2,T1133,mitigates
